SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_glide_XP_ClBr,r_glide_XP_Electro,r_glide_XP_GScore,r_glide_XP_HBond,i_glide_XP_impact_version,r_glide_XP_LipophilicEvdW,r_glide_XP_LowMW,r_glide_XP_Penalties,r_glide_XP_HBPenal,r_glide_XP_ExposPenal,r_glide_XP_RotPenal,r_glide_XP_PhobEn,r_glide_XP_PhobEnHB,r_glide_XP_PhobEnPairHB,r_glide_XP_PiCat,r_glide_XP_PiStack,i_glide_XP_PoseRank,r_glide_XP_Sitemap,r_glide_XP_Zpotr,r_i_glide_gscore,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_energy,r_i_glide_einternal,r_i_glide_emodel
C/C=C(\C)C(=O)O[C@H]1CCN2CC=C(COC(=O)[C@@](O)([C@H](C)OC)C(C)(C)O)[C@@H]12,"CC=C(C)C(=O)OC1CCN2C1C(=CC2)COC(=O)C(C(C)OC)(C(C)(C)O)O",1,Done,124.05,-3.65707,"grid_allosteric",0,-0.721931,-3.65707,-1.61102,,-1.69771,-0.128369,0.00422379,0,0.108793,0.44899,0,0,0,0,0,1,-0.0600522,0,-3.65707,-21.7958,-9.62574,-31.4216,4.97404,-42.1143
C/C=C(/C)C(=O)O[C@H]1CCN2CC=C(COC(=O)[C@@](O)([C@H](C)OC)C(C)(C)O)[C@@H]12,"CC=C(C)C(=O)OC1CCN2C1C(=CC2)COC(=O)C(C(C)OC)(C(C)(C)O)O",2,Done,106.23,-3.8966,"grid_allosteric",0,-0.613212,-3.8966,-2.09772,,-1.56007,-0.128369,6.36664e-06,0,0.0801274,0.44899,0,0,0,0,0,1,-0.0263547,0,-3.8966,-22.2281,-8.17616,-30.4042,0,-35.9501
C=C(C)[C@@H]1CC=C(CO)CC1,"CC(=C)C1CCC(=CC1)CO",3,Done,13.12,-2.39189,"grid_allosteric",0,-0.440582,-2.39189,-1.25339,,-0.582908,-0.5,0,0,0.00232984,0.546898,-0.164238,0,0,0,0,1,0,0,-2.39189,-9.31606,-5.87442,-15.1905,3.18184,-15.5051
COc1c(C(C)C)cc2c(=O)cc3c(cc2c1O)C=CC(=O)C3(C)C,"CC(C)C1=C(C(=C2C=C3C=CC(=O)C(C3=CC(=O)C2=C1)(C)C)O)OC",4,Done,8.78,-3.43649,"grid_allosteric",0,-0.336238,-3.43649,-1.18,,-1.51424,-0.37201,0,0,0.0546576,0,0,0,0,0,0,1,-0.0886605,0,-3.43649,-24.6039,-4.48317,-29.0871,0.0990131,-34.549
COc1c(C(C)C)cc2c(=O)cc3c(cc2c1OC)C=CC(=O)C3(C)C,"CC(C)C1=C(C(=C2C=C3C=CC(=O)C(C3=CC(=O)C2=C1)(C)C)OC)OC",5,Done,6.52,-3.04363,"grid_allosteric",0,-0.399399,-3.04363,-1.05852,,-1.65728,-0.325255,0,0,0.396818,0,0,0,0,0,0,1,0,0,-3.04363,-21.769,-5.32533,-27.0943,2.87053,-33.3615
C=C1[C@@H](OC(=O)/C=C/c2ccccc2)C[C@H](OC(C)=O)[C@]2(C)[C@H](OC(C)=O)[C@H](OC(C)=O)C3=C(C)[C@@H](OC(C)=O)C[C@H](C[C@H]12)C3(C)C,"CC1=C2C(C(C3(C(CC(C2(C)C)CC1OC(=O)C)C(=C)C(CC3OC(=O)C)OC(=O)C=CC4=CC=CC=C4)C)OC(=O)C)OC(=O)C",6,Done,85.12,14.1287,"grid_allosteric",0,-0.220157,14.1287,-0.7,,-1.94698,0,16.3614,0,0.569219,0.0856427,0,0,0,0,0,1,-0.0204695,0,14.1287,-29.0399,-2.93543,-31.9754,0,-42.0339
C=C1[C@@H](OC(=O)/C=C\c2ccccc2)C[C@H](OC(C)=O)[C@]2(C)[C@H](OC(C)=O)[C@H](OC(C)=O)C3=C(C)[C@@H](OC(C)=O)C[C@H](C[C@H]12)C3(C)C,"CC1=C2C(C(C3(C(CC(C2(C)C)CC1OC(=O)C)C(=C)C(CC3OC(=O)C)OC(=O)C=CC4=CC=CC=C4)C)OC(=O)C)OC(=O)C",7,Done,33.4,-1.66133,"grid_allosteric",0,-0.180174,-1.66133,-0.306657,,-1.59517,0,0.0186829,0,0.31634,0.0856427,0,0,0,0,0,1,0,0,-1.66133,-21.0989,-2.40232,-23.5012,2.86924,-27.9026
C/C(=C\CC[C@@H](C)[C@H]1CC[C@@]2(C)[C@H]3CC[C@H]4C(C)(C)[C@H](O)CC[C@]45C[C@]35CC[C@@]12C)C(=O)O,"CC(CCC=C(C)C(=O)O)C1CCC2(C1(CCC34C2CCC5C3(C4)CCC(C5(C)C)O)C)C",8,Done,40.43,-3.01713,"grid_allosteric",0,-0.493531,-3.01713,-1.91236,,-1.44664,0,0,0,1.07248,0.206494,-0.275,0,0,0,0,1,-0.168569,0,-3.01713,-18.9487,-6.58041,-25.5291,2.85002,-34.0133
C/C(=C/CC[C@@H](C)[C@H]1CC[C@@]2(C)[C@H]3CC[C@H]4C(C)(C)[C@H](O)CC[C@]45C[C@]35CC[C@@]12C)C(=O)O,"CC(CCC=C(C)C(=O)O)C1CCC2(C1(CCC34C2CCC5C3(C4)CCC(C5(C)C)O)C)C",9,Done,39.94,-2.52699,"grid_allosteric",0,-0.870276,-2.52699,-1.31,,-1.67627,0,0,0,1.70223,0.206494,-0.360429,0,0,0,0,1,-0.21873,0,-2.52699,-21.0762,-11.6037,-32.6799,13.9544,-36.6238
CCOC(=O)c1cc(O)c(O)c(O)c1,"CCOC(=O)C1=CC(=C(C(=C1)O)O)O",10,Done,7.54,-4.80392,"grid_allosteric",0,-0.520027,-4.80392,-2.64342,,-1.37227,-0.5,6.87385e-06,0,0,0.355392,0,0,0,0,0,1,-0.123603,0,-4.80392,-14.5743,-6.93369,-21.508,1.17295,-26.371
COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,"COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC",11,Done,9.47,-3.04205,"grid_allosteric",0,-0.128878,-3.04205,-1.11013,,-1.288,-0.378796,0,0,0.063754,0,-0.2,0,0,0,0,1,0,0,-3.04205,-19.0993,-1.71838,-20.8177,0.0110083,-26.4889
C[C@H]1CC[C@]2(NC1)O[C@H]1C[C@@H]3[C@H]4CC=C5C[C@H](O[C@@H]6O[C@H](CO)[C@H](O[C@@H]7O[C@H](C)[C@H](O)[C@H](O)[C@@H]7O)[C@H](O)[C@@H]6O[C@@H]6O[C@H](C)[C@H](O)[C@H](O)[C@@H]6O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,"CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)C)O)O)O)O)OC9C(C(C(C(O9)C)O)O)O)C)C)C)NC1",12,Done,154.98,-8.34566,"grid_allosteric",0,-1.50409,-8.34566,-5.57484,,-1.65622,0,0,0,0.387031,0.0874654,0,0,0,0,0,1,-0.0850189,0,-8.34566,-24.8443,-20.0545,-44.8988,8.63956,-60.1516
C[C@H]1CC[C@@H]([C@H](C)[C@H]2[C@@H](O)C[C@H]3[C@H]4CC=C5C[C@H](O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@@H]6O)CC[C@@]5(C)[C@H]4CC[C@@]32C)NC1,"CC1CCC(NC1)C(C)C2C(CC3C2(CCC4C3CC=C5C4(CCC(C5)OC6C(C(C(C(O6)CO)O)O)O)C)C)O",13,Done,45.92,-4.61474,"grid_allosteric",0,-0.716411,-4.61474,-1.5322,,-2.71514,0,0,0,0.256664,0.0923429,0,0,0,0,0,1,0,0,-4.61474,-26.2429,-9.55214,-35.7951,4.87438,-49.0165
C[C@H]1CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@H]4[C@@]5(C)CC[C@@H](O)C(C)(C)[C@H]5CC[C@]43C)[C@@H]2[C@@H]1C,"CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O",14,Done,24.81,-2.48734,"grid_allosteric",0,-0.345459,-2.48734,-1.33,,-1.12359,0,0,0,0.270411,0.0412987,0,0,0,0,0,1,0,0,-2.48734,-21.817,-4.60612,-26.4231,0.427736,-31.29
